app_id,shadow_cnt,live_cnt,diff
JHA-1031,1,1,0
JHA-1038,8,8,0
JHA-1040,7,7,0
JHA-1041,1,1,0
JHA-107,2,2,0
JHA-111,2,2,0
JHA-116,9,9,0
JHA-125,1,1,0
JHA-127,1,1,0
JHA-130,2,2,0
JHA-155,3,3,0
JHA-156,8,8,0
JHA-158,11,11,0
JHA-159,17,17,0
JHA-163,1,1,0
JHA-2001,3,3,0
JHA-2003,86,86,0
JHA-209,1,1,0
JHA-2164,1,1,0
JHA-3001,1,1,0
JHA-501,23,23,0
JHA-505,89,89,0
JHG-009,1,1,0
JHG-015,80,80,0
JHG-019,7,7,0
JHG-020,71,71,0
JHG-035,1,1,0
JHG-039,5,5,0
JHG-053,2,2,0
JHG-054,2,2,0
JHG-060,2,2,0
JHG-061,45,45,0
JHG-063,1,1,0
JHG-065,7,7,0
JHG-067,1,1,0
JHG-068,1,1,0
JHG-069,28,28,0
JHG-072,2,2,0
JHG-078,6,6,0
JHG-081,1,1,0
JHG-083,1,1,0
JHG-086,1,1,0
JHG-090,10,10,0
JHG-091,59,59,0
JHG-101,3,3,0
JHG-117,1,1,0
JHGXN-096,15,15,0
JHGXN-100,1,1,0
JHGXN-106,3,3,0
JHGXN-107,1,1,0
JW-032,1,1,0
JW-042,1,1,0
JW-048,1,1,0
SEO-005,5,5,0
SEO-007,4,4,0
SEO-008,4,4,0
SEO-009,1,1,0
SEO-013,5,5,0
SEO-015,1,1,0
SEO-016,2,2,0
SEO-018,1,1,0
SEO-021,2,2,0
SEO-025,2,2,0
SEO-026,2,2,0
SEO-027,3,3,0
SEO-029,3,3,0
SEO-031,1,1,0
SEO-032,1,1,0
SEO-034,1,1,0
SEO-035,1,1,0
SEO-036,1,1,0
SEO-037,3,3,0
SF-105,34,34,0
SF-107,37,37,0
SF-109,12,12,0
SF-110,22,22,0
SF-113,13,13,0
SF-115,8,8,0
SF-116,6,6,0
SF-123,2,2,0
SF-135,1,1,0
SF-138,17,17,0
SF-139,9,9,0
SF-14,33,33,0
SF-147,2,2,0
SF-148,3,3,0
SF-150,2,2,0
SF-151,8,8,0
SF-163,1,1,0
SF-166,2,2,0
SF-168,1,1,0
SF-172,1,1,0
SF-18,3,3,0
SF-189,6,6,0
SF-20,345,345,0
SF-22,1,1,0
SF-23,2,2,0
SF-25,9,9,0
SF-26,1,1,0
SF-28,3,3,0
SF-34,5,5,0
SF-37,72,72,0
SF-46,20,20,0
SF-48,16,16,0
SF-74,405,405,0
SF-82,8,8,0
SF-83,15,15,0
SF-84,57,57,0
SF-87,2,2,0
SF-93,192,192,0
SF-99,4,4,0
SF-991,1,1,0
SF-992,1,1,0
SF-997,2,2,0
SWZX-001,1,1,0
SWZX-002,1,1,0
TJ-001,2,2,0
TJ-003,1,1,0
TJ-004,2,2,0
TJ-005,1,1,0
TJ-007,1,1,0
TJ-009,1,1,0
TJ-011,2,2,0
TJ-012,1,1,0
TJ-013,1,1,0
TJ-014,1,1,0
TJ-015,1,1,0
TJ-017,1,1,0
TJ-019,1,1,0
TJ-020,1,1,0
TJ-021,1,1,0
TJ-022,1,1,0
TJ-023,1,1,0
TJ-024,1,1,0
TJ-025,1,1,0
TJ-026,1,1,0
